,Title,published_date,Views,Likes,FavoriteCount,comments,Month
96,Why Kaggle Should Be Your Favorite Data Science Resource #shorts,2021-05-07,31119,1648,0,64,May
97,What is Pandas? (Data & Data Science) #shorts,2021-04-30,23994,1237,0,87,Apr
98,The 7 Biggest Data Science  Beginner Mistakes,2021-04-23,77316,3433,0,284,Apr
99,Data Scientist Reacts: REAL Data Science Job Application Data,2021-04-16,23520,695,0,85,Apr
100,Why You Probably Won't Become a Data Scientist,2021-04-09,138479,4040,0,481,Apr
101,How to Go From Data Analyst to Data Scientist,2021-04-02,54053,1543,0,178,Apr
102,Why I Have 2 Offices for Data Science & Content Creation,2021-03-26,3989,138,0,92,Mar
103,MARCH MADNESS - Will My Machine Learning Model Beat Your Bracket?,2021-03-19,18216,350,0,108,Mar
104,My Regrets as a Data Science Student,2021-03-12,23989,882,0,112,Mar
105,My Daily Battle With Time - Will I Win? [Vlog],2021-03-08,3838,196,0,83,Mar
106,What is the Future of my Comment Leaderboard Project?,2021-02-26,5579,201,0,81,Feb
107,How to Build a Website  - Building my ULTIMATE Portfolio Website,2021-02-19,6798,174,0,51,Feb
108,Why I Quit Data Science,2021-02-12,104889,2351,0,347,Feb
109,🌶 Hot Topics in Tech: Data Science Explained #SHORTS,2021-01-29,10729,559,0,116,Jan
110,How I Balance Data Science and Content Creation (7 Secrets),2021-01-23,7001,294,0,126,Jan
111,Kaggle Project From Scratch - Part 3 (Advanced Graphs & Gender Imbalance Analysis),2021-01-16,9829,304,0,52,Jan
112,Kaggle Project From Scratch - Part 2 (Exploratory Data Analysis),2021-01-08,22905,698,0,134,Jan
113,Kaggle Project From Scratch - Part 1 (Data Science Profession Survey),2021-01-02,38188,1144,0,147,Jan
114,What is the #66DaysOfData?,2020-12-26,70155,2329,0,202,Dec
115,How I Would Learn Data Science in 2021 (What Has Changed?),2020-12-19,131542,5965,0,488,Dec
116,Unboxing the Ultimate Z by HP Data Science Package (FIRST EVER HP Workstation w/ Data Science Stack),2020-12-10,10993,399,0,133,Dec
117,I Built the FIRST EVER YouTube Subscriber LEADERBOARD,2020-12-07,23566,727,0,326,Dec
118,7 Things to Look For in a Masters For Data Science (feat. @TinaHuang1),2020-11-20,28213,863,0,160,Nov
119,6 Lessons from #66DaysOfData,2020-11-13,6741,340,0,93,Nov
120,100K Channel Update + AMA Stream!,2020-11-12,2319,127,0,22,Nov
121,Find a Data Science Project With These 3 Techniques,2020-11-06,16856,731,0,106,Nov
122,How I Chose My Masters Degree for Breaking into Data Science,2020-10-30,27451,677,0,155,Oct
123,git for Data Science Made Simple... (Hopefully),2020-10-23,20173,879,0,92,Oct
124,The PODCAST you might have asked for?,2020-10-19,2122,94,0,44,Oct
125,Dealing with Doubt in Data Science (My Impostor Syndrome Story),2020-10-16,6762,450,0,113,Oct
126,Advice from a Data Analytics CEO (@How to Get an Analytics Job) - KNN EP. 17,2020-10-14,14392,418,0,47,Oct
127,Data Science Resume Round-Up With @Tina Huang  | Episode 3,2020-10-12,6866,143,0,62,Oct
128,5 Unusual Data Science Projects that Will Land You a Job,2020-10-09,11892,569,0,83,Oct
129,Sh*t Data Scientists Say (Parody),2020-10-05,9560,579,0,144,Oct
130,5 Proven Strategies to Break into a Data Science Job,2020-10-02,8625,366,0,93,Oct
131,Why Data-Viz is so Darn Important (@Story by Data | Kate Strachnyi) - KNN EP. 16,2020-09-30,7076,288,0,61,Sep
132,Data Science Resume Round-Up With @TinaHuang1  - Episode 1,2020-09-28,11762,293,0,69,Sep
133,5 Essential Data Science Projects for Your Portfolio,2020-09-26,73294,3115,0,206,Sep
134,His Startup Will Land You a Data Science Job (Jeremie Harris) - KNN EP. 15,2020-09-23,5189,198,0,64,Sep
135,Reviewing Your Data Science Projects - Episode 21(The Cleanest Portfolio),2020-09-21,12557,482,0,58,Sep
136,"Hedge Funds, Startups, and Data Science Oh my! (@DataLeap) - KNN EP. 14",2020-09-18,7474,254,0,34,Sep
137,Land a Data Science Job in a Different Country (Vijay Pravin Maharajan) - KNN EP. 13,2020-09-16,5112,196,0,56,Sep
138,Reviewing Your Data Science Projects - Episode 20 (Bootcamp Capstone),2020-09-14,4302,157,0,35,Sep
139,The 5 Pillars of Success I Live By,2020-09-11,10144,873,0,152,Sep
140,Fast Cars to Faster Data (Alex Castrounis) - KNN EP. 12,2020-09-09,1891,78,0,25,Sep
141,Reviewing Your Data Science Projects - Episode 19 (One Big Improvement),2020-09-07,4044,163,0,43,Sep
142,How I Learn Data Science Through Studying Other People's Code | #66DaysOfData,2020-09-04,11833,738,0,144,Sep
143,How She Dominated the FAANG Data Science Interview  (@TinaHuang1 ) - KNN EP. 11,2020-09-02,18001,573,0,89,Sep
144,Reviewing Your Data Science Projects - Episode 18 (Job-Worthy GitHub),2020-08-31,18069,796,0,93,Aug
145,Why I'm Starting Data Science Over Again.,2020-08-29,50767,2602,0,450,Aug
